Pop04;PopChange;MedAge;MedIncome;MedHVal;MedRent;Unemployment;CostOfLiving;HispRate;AsianRate;BlackRate;AmerIndRate;LandArea;URL;CrawledTime;DbId;Year;TrueURL;City;Spalte1
34284;7.8;44.1;38148;93464;633;6.5;92.2;16.0;1.0;1.0;0.0;34.2 ;http://web.archive.org/web/20111213165809/http://www.city-data.com:80/city/Apache-Junction-Arizona.html;18.12.2016 22:29;1;2012;http://www.city-data.com/city/Apache-Junction-Arizona.html;APACHE JUNCTION, AZ;APACHE JUNCTION, AZ2012
35840;12.7;47.5;38148;93464;633;6.5;91.8;14.4;0.7;1.1;0.9;34.2 ;http://web.archive.org/web/20130111222659/http://www.city-data.com:80/city/Apache-Junction-Arizona.html;18.12.2016 22:29;2;2013;http://www.city-data.com/city/Apache-Junction-Arizona.html;APACHE JUNCTION, AZ;APACHE JUNCTION, AZ2013
36613;15.1;47.5;34459;73768;723;12.6;91.3;16.4;1.1;1.3;0.6;34.2 ;http://web.archive.org/web/20131123035644/http://www.city-data.com:80/city/Apache-Junction-Arizona.html;18.12.2016 22:29;3;2014;http://www.city-data.com/city/Apache-Junction-Arizona.html;APACHE JUNCTION, AZ;APACHE JUNCTION, AZ2014
36613;15.1;47.5;38662;83401;734;15.4;91.3;15.6;0.6;0.9;0.8;34.2 ;http://web.archive.org/web/20141228035830/http://www.city-data.com:80/city/Apache-Junction-Arizona.html;18.12.2016 22:29;4;2015;http://www.city-data.com/city/Apache-Junction-Arizona.html;APACHE JUNCTION, AZ;APACHE JUNCTION, AZ2015
84914;136.6;29.0;58159;157400;1180;4.3;92.9;52.7;3.5;8.5;0.0;41.3 ;http://web.archive.org/web/20111216232431/http://www.city-data.com:80/city/Avondale-Arizona.html;18.12.2016 22:29;5;2012;http://www.city-data.com/city/Avondale-Arizona.html;AVONDALE, AZ;AVONDALE, AZ2012
76392;112.9;28.6;58159;157400;1180;4.3;92.5;50.3;3.3;8.7;1.0;41.3 ;http://web.archive.org/web/20130128125932/http://www.city-data.com/city/Avondale-Arizona.html;18.12.2016 22:29;6;2013;http://www.city-data.com/city/Avondale-Arizona.html;AVONDALE, AZ;AVONDALE, AZ2013
78256;118.1;28.6;51363;115400;1028;4.3;91.6;50.3;3.3;8.7;1.0;41.3 ;http://web.archive.org/web/20140109065454/http://www.city-data.com:80/city/Avondale-Arizona.html;18.12.2016 22:29;7;2014;http://www.city-data.com/city/Avondale-Arizona.html;AVONDALE, AZ;AVONDALE, AZ2014
78256;118.1;28.1;51237;117600;1012;9.9;91.3;55.5;3.5;11.3;0.6;41.3 ;http://web.archive.org/web/20141231053610/http://www.city-data.com:80/city/Avondale-Arizona.html;18.12.2016 22:29;8;2015;http://www.city-data.com/city/Avondale-Arizona.html;AVONDALE, AZ;AVONDALE, AZ2015
31545;-6.0;42.1;59249;158298;777;3.5;96.4;0.5;1.6;1.2;0.0;11.7 ;http://web.archive.org/web/20111221222436/http://www.city-data.com:80/city/Bethel-Park-Pennsylvania.html;18.12.2016 22:29;9;2012;http://www.city-data.com/city/Bethel-Park-Pennsylvania.html;BETHEL PARK, PA;BETHEL PARK, PA2012
32321;-3.7;46.1;59249;158298;777;3.5;96.5;1.0;1.4;1.2;0.03;11.7 ;http://web.archive.org/web/20130128042244/http://www.city-data.com/city/Bethel-Park-Pennsylvania.html;18.12.2016 22:29;10;2013;http://www.city-data.com/city/Bethel-Park-Pennsylvania.html;BETHEL PARK, PA;BETHEL PARK, PA2013
